Date,Open,High,Low,Close,Volume,marketCap,Market-price,n-transactions,fees-usd-per-transaction,avg-block-size,n-transactions-per-block,n-payments-per-block,n-transactions-total
2018/1/1,14112.2,14112.2,13154.7,13657.2,10291200000,2.29119E+11,14268.17,324629.4286,29.27705988,1.050737006,2054.596435,4434.150482,288429056
2018/1/2,13625,15444.6,13163.6,14982.1,16846600192,2.51E+11,14034.82,324629.4286,29.27705988,1.050737006,2054.596435,4434.150482,288429056
2018/1/3,14978.2,15572.8,14844.5,15201,16871900160,2.55E+11,14034.82,324629.4286,29.27705988,1.050737006,2054.596435,4434.150482,288429056
2018/1/4,15270.7,15739.7,14522.2,15599.2,21783199744,2.62E+11,14034.82,342240.5714,28.21941003,1.053628277,2129.986122,4434.150482,289592587
2018/1/5,15477.2,17705.2,15202.8,17429.5,23840899072,2.93E+11,15177.71,342240.5714,28.21941003,1.053628277,2129.986122,4434.150482,289592587
2018/1/6,17462.1,17712.4,16764.6,17527,18314600448,2.94E+11,15177.71,342240.5714,28.21941003,1.053628277,2129.986122,4434.150482,289592587
2018/1/7,17527.3,17579.6,16087.7,16477.6,15866000384,2.77E+11,15177.71,370949.8571,30.36025282,1.05808241,2305.181693,4434.150482,290665709
2018/1/8,16476.2,16537.9,14208.2,15170.1,18413899776,2.55E+11,15696.07,370949.8571,30.36025282,1.05808241,2305.181693,4626.468821,290665709
2018/1/9,15123.7,15497.5,14424,14595.4,16659999744,2.45E+11,15696.07,370949.8571,30.36025282,1.05808241,2305.181693,4710.08305,290665709
2018/1/10,14588.5,14973.3,13691.2,14973.3,18500800512,2.51E+11,15696.07,345487.7143,30.08462927,1.053939479,2031.081267,4657.581833,291709927
2018/1/11,14968.2,15018.8,13105.9,13405.8,16534099968,2.25E+11,14958.35,345487.7143,30.08462927,1.053939479,2031.081267,4420.596901,291709927
2018/1/12,13453.9,14229.9,13158.1,13980.6,12065699840,2.35E+11,14958.35,345487.7143,30.08462927,1.053939479,2031.081267,4181.608614,291709927
2018/1/13,13952.4,14659.5,13952.4,14360.2,12763599872,2.41E+11,14958.35,302873,28.50987602,1.049886563,1835.783311,4057.246614,292512025
2018/1/14,14370.8,14511.8,13268,13772,11084099584,2.31E+11,13968.73,302873,28.50987602,1.049886563,1835.783311,3864.373223,292512025
