Date,Open,High,Low,Close,Volume,marketCap
2018/1/1,755.76,782.53,742,772.64,2595760128,74724233458
2018/1/2,772.35,914.83,772.35,884.44,5783349760,85552984077
2018/1/3,886,974.47,868.45,962.72,5093159936,93146829617
2018/1/4,961.71,1045.08,946.09,980.92,6502859776,94924308783
2018/1/5,975.75,1075.39,956.33,997.72,6683149824,96574936368
2018/1/6,995.15,1060.71,994.62,1041.68,4662219776,1.01E+11
2018/1/7,1043.01,1153.17,1043.01,1153.17,5569880064,1.12E+11
2018/1/8,1158.26,1266.93,1016.05,1148.53,8450970112,1.11E+11
2018/1/9,1146,1320.98,1145.49,1299.74,7965459968,1.26E+11
2018/1/10,1300.34,1417.38,1226.6,1255.82,9214950400,1.22E+11
2018/1/11,1268.09,1337.3,1135.17,1154.93,7235899904,1.12E+11
2018/1/12,1158.29,1296.04,1120.09,1273.2,5222300160,1.23E+11
2018/1/13,1270.47,1432.88,1270.47,1396.42,5746760192,1.35E+11
2018/1/14,1397.48,1400.56,1286.21,1366.77,4841630208,1.33E+11
2018/1/15,1365.21,1390.59,1290.6,1291.92,4781100032,1.25E+11
2018/1/16,1292.63,1292.63,875.54,1053.69,8405139968,1.02E+11
2018/1/17,1061.34,1090.23,780.92,1014.25,8545160192,98429091487
2018/1/18,1016.44,1100.31,967.76,1036.28,5938319872,1.01E+11
2018/1/19,1028.82,1093.22,1003.71,1039.1,4084450048,1.01E+11
2018/1/20,1044.95,1167.11,1044.95,1155.15,3975190016,1.12E+11
2018/1/21,1155.68,1155.68,1021.5,1049.58,3378089984,1.02E+11
2018/1/22,1055.35,1089.1,930.74,1003.26,3810099968,97465684890
2018/1/23,1004.17,1023.23,920.54,986.23,3556699904,95831359552
2018/1/24,987.48,1062.44,965.81,1058.78,3944039936,1.03E+11
2018/1/25,1063.22,1104.66,1034.74,1056.03,4050190080,1.03E+11
2018/1/26,1052.7,1080.6,996.78,1055.17,3617690112,1.03E+11
2018/1/27,1055.75,1121.98,1042.12,1107.07,3002870016,1.08E+11
2018/1/28,1111.78,1257.77,1111.78,1246.01,5372329984,1.21E+11
2018/1/29,1246.7,1256.7,1169.08,1182.36,3715079936,1.15E+11
2018/1/30,1184.13,1184.63,1058.97,1071.13,4107859968,1.04E+11
2018/1/31,1071.09,1128.66,1034.5,1118.31,3757560064,1.09E+11
2018/2/1,1119.37,1161.35,984.82,1036.79,5261680128,1.01E+11
2018/2/2,1035.77,1035.77,757.98,915.78,6713290240,89173962074
2018/2/3,919.21,991.94,847.69,964.02,3243480064,93890299032
2018/2/4,964.67,969.03,805.06,834.68,2997090048,81310521832
2018/2/5,834.96,856.65,644.6,697.95,4269530112,68005284183
2018/2/6,707.74,796.44,574.42,793.12,6518269952,77294507868
2018/2/7,790.43,851.2,723.43,757.07,3896179968,73796288509
2018/2/8,755.84,845.09,755.84,817.81,3708189952,79733609806
2018/2/9,818.48,884,788.83,883.86,2495820032,86191922699
2018/2/10,882.47,917.4,825.58,860.41,2930530048,83922989198
2018/2/11,859.29,859.29,788.22,814.66,2486650112,79476512347
2018/2/12,817.51,875.94,817.51,868.71,2243450112,84767037716
2018/2/13,869.29,870.71,828.84,845.26,2081170048,82496189206
2018/2/14,844.28,926.43,844.28,923.56,2818370048,90157005929
2018/2/15,923.73,951.95,911.11,936.98,2900100096,91485862822
2018/2/16,934.79,950.01,917.85,944.21,2369449984,92211437654
2018/2/17,944.75,976.59,940.75,974.11,2525720064,95151956513
2018/2/18,973.35,982.93,915.45,923.92,2567290112,90267805476
2018/2/19,921.67,957.78,921.55,943.86,2169019904,92235641556
2018/2/20,943.57,965.27,892.95,895.37,2545260032,87514997546
2018/2/21,894.14,912.38,830.56,849.97,2531729920,83095081059
2018/2/22,849.26,875.93,802.67,812.84,2150370048,79482140044
2018/2/23,811.59,886.32,794.79,864.19,2334820096,84520567485
2018/2/24,861.59,879.53,818.55,840.52,1926579968,82222377928
2018/2/25,839.46,853.15,822.38,844.81,1646960000,82659602549
2018/2/26,845.28,880.39,842.32,869.32,2044480000,85074973200
2018/2/27,870.36,896.26,867.1,878.27,2053980032,85968788108
2018/2/28,877.93,890.11,855.12,855.2,1963980032,83728564149
2018/3/1,856.01,880.3,851.92,872.2,1868519936,85410827047
2018/3/2,871.76,876.38,852.42,856.85,1894419968,83925690001
2018/3/3,856.71,868.45,855.21,857.22,1699369984,83979651073
2018/3/4,856.19,867.95,840.28,866.68,1697939968,84923240778
2018/3/5,866.85,869.92,853.52,853.68,1898489984,83667342992
2018/3/6,853.82,853.82,809.93,816.95,1943069952,80083929891
2018/3/7,816.27,825.61,726.55,752.83,2175419904,73813918307
2018/3/8,752.57,773.77,696.17,704.6,1891640064,69098851661
2018/3/9,702.2,729.16,648.11,728.92,2233019904,71498733754
2018/3/10,730.16,748.03,682.7,686.89,1532960000,67390487259
2018/3/11,685.31,735.83,668.12,723.34,1562680064,70981343639
2018/3/12,724.41,742.51,683.27,699.83,1764999936,68688764839
2018/3/13,698.15,713.73,682.35,690.83,1425959936,67819092121
2018/3/14,691.22,702.78,594.1,614.29,1810560000,60318025226
2018/3/15,614.84,620.62,579.51,611.3,1770460032,60037233577
2018/3/16,611.78,623.17,587.86,601.67,1417350016,59103031871
2018/3/17,601.68,609.15,549.1,552.78,1267810048,54312035489
2018/3/18,551.64,551.64,460.09,538.64,2685499904,52934184182
2018/3/19,546.63,558.1,519.12,556.73,2046790016,54722473140
2018/3/20,556.72,567.09,521.2,557.17,1833680000,54777982164
2018/3/21,559.1,589.61,550.57,561.73,1781270016,55237391316
2018/3/22,562.1,577.57,523.09,539.7,1523459968,53082150649
2018/3/23,539.86,540.49,512.13,539.62,1596349952,53084905906
2018/3/24,542.57,545.38,526.08,526.44,1300009984,51799123912
2018/3/25,522.7,535.82,515.66,524.29,1151170048,51598047955
2018/3/26,524.29,526.38,470.44,489.95,1638880000,48228842327
2018/3/27,489.59,491.46,449.97,450.12,1617939968,44316774118
2018/3/28,450.29,466.21,444.86,446.28,1514179968,43948072321
2018/3/29,448.08,450.81,385.81,385.97,1970230016,38016727209
2018/3/30,385.9,409.93,368.63,394.64,1878130048,38879465944
2018/3/31,395,418.47,392.95,396.46,1323920000,39066085342
2018/4/1,397.25,400.53,363.8,379.61,1256930048,37413407420
2018/4/2,379.7,395.17,377.59,386.42,1102259968,38093277842
2018/4/3,387.31,418.97,383.53,416.89,1363399936,41105280498
2018/4/4,416.48,417.47,375.31,380.54,1287730048,37528933631
2018/4/5,379.95,387.72,369.82,383.23,1210680064,37802008408
2018/4/6,382.73,385.2,366.91,370.29,967105984,36532478896
2018/4/7,370.38,393.06,369.94,385.31,951475008,38023057371
2018/4/8,385.74,402.59,385.6,400.51,948488000,39530560784
2018/4/9,400.86,429.25,390.61,398.53,1478390016,39343018191
2018/4/10,399.41,415.89,393.88,414.24,1196000000,40903130396
2018/4/11,415.02,430.54,412.47,430.54,1439040000,42521044920
2018/4/12,430.16,493.06,417.41,492.94,2519360000,48693844481
2018/4/13,493.16,526.47,482.66,492.73,2419249920,48683660481
2018/4/14,492.58,512.02,488.28,501.48,1519079936,49557725333
2018/4/15,502.88,531.7,502.88,531.7,1726089984,52555419462
2018/4/16,532.07,534.2,500.25,511.15,1758979968,50534185799
2018/4/17,511.14,518.03,502.56,502.89,1760359936,49728519115
2018/4/18,503.31,525.09,503.05,524.79,1762940032,51904227886
2018/4/19,524.04,567.89,523.26,567.89,2256869888,56178772001
2018/4/20,567.99,618.72,560.28,615.72,2849469952,60922818296
2018/4/21,616,621.89,578.55,605.4,2612460032,59913832194
2018/4/22,606.12,640.77,593.87,621.86,2426269952,61556034015
2018/4/23,621.2,646.7,621.03,642.55,2386830080,63617020167
2018/4/24,643.4,708.88,643.4,708.16,3581860096,70127342534
2018/4/25,707.06,707.06,600.21,615.42,4216140032,60955966711
2018/4/26,618.08,663.18,604.01,662.81,2984009984,65663946135
2018/4/27,662.11,684.87,647.03,647.03,2598129920,64114105428
2018/4/28,644.65,691.44,644.65,683.68,2496659968,67759208004
2018/4/29,683.91,697.76,670.51,688.88,2740559872,68289153706
2018/4/30,689.76,694.44,666.12,669.92,2853100032,66423712256
2018/5/1,670.46,674.4,637.54,673.61,2678960128,66803233984
2018/5/2,674.08,688.84,667.42,687.15,2822269952,68159979253
2018/5/3,686.59,784.34,686.59,779.54,4210939904,77340839220
2018/5/4,776.78,803.75,762.63,785.62,3533410048,77960306236
2018/5/5,784.58,827.46,784.24,816.12,3035040000,81003446783
2018/5/6,816.09,835.06,764.88,792.31,3105570048,78656662788
2018/5/7,793.34,795.76,710.18,753.72,4316120064,74841655792
2018/5/8,755.01,774.25,728.13,752.86,2920489984,74770813968
2018/5/9,752.9,759.53,718.47,752.28,2877870080,74728439730
2018/5/10,752.58,766.75,726.66,727.28,2748950016,72260117775
2018/5/11,727.01,736.98,669.83,679.59,3290080000,67535702572
2018/5/12,679.88,691.41,644.07,686.05,2668480000,68192028458
2018/5/13,687.17,741.31,675.32,733.5,2362500096,72923278119
2018/5/14,732.73,742.17,695.79,730.55,3005110016,72645181706
2018/5/15,731.14,739.05,700.99,708.87,2523069952,70504110201
2018/5/16,708.09,710.2,682.54,707.05,2476130048,70337446111
2018/5/17,708.72,718.83,668.83,672.66,2350619904,66929938612
2018/5/18,672.1,695.03,663.81,694.37,2305740032,69104455849
2018/5/19,695.07,715.58,686.79,696.53,2021549952,69334147807
2018/5/20,697.92,723.75,692.67,715.37,2156910080,71224213260
2018/5/21,717.19,719.28,692.49,699.22,2005170048,69631032596
2018/5/22,700.18,700.98,644.03,647.74,2230469888,64517663406
2018/5/23,646.67,651.64,572.95,583.59,2995429888,58139666822
2018/5/24,584.54,610.82,557.21,601.76,2791099904,59962094302
2018/5/25,602.14,617.19,575.62,586.73,2110919936,58477440268
2018/5/26,587.43,606.17,583.51,587.28,1694300032,58544016481
2018/5/27,588.52,590.33,562.87,572.67,1788790016,57099072056
2018/5/28,573.04,576.05,512.55,516.04,2356900096,51463146627
2018/5/29,516.15,572.26,516.15,565.39,2330820096,56396587656
2018/5/30,566.83,583.14,545.43,559.59,2053970048,55829809817
2018/5/31,558.5,585.54,557.07,577.65,1985040000,57643138807
2018/6/1,578.67,589.09,567.66,580.04,1945890048,57894350583
2018/6/2,580.43,597.08,577.32,591.81,1880390016,59080880117
2018/6/3,591.26,624.51,591.26,618.33,1832550016,61740821846
2018/6/4,619.44,623.43,583.75,592.98,1903430016,59222873880
2018/6/5,593.41,611.33,580.98,609.3,1844269952,60864980395
2018/6/6,610.26,611.64,596.4,607.12,1756530048,60659842641
2018/6/7,607.69,616.14,601.69,605.19,1880140032,60478879395
2018/6/8,605.44,608.81,595.59,601.08,1637779968,60080608858
2018/6/9,600.91,608.58,597.56,597.56,1519309952,59741701633
2018/6/10,594.34,594.34,511.89,526.48,2234880000,52645885461
2018/6/11,524.86,536.86,515.27,533.28,1982119936,53337466294
2018/6/12,532.71,538.96,491.23,496.84,1932760064,49702985162
2018/6/13,498.02,501.9,459,477.49,2080130048,47777150787
2018/6/14,478.38,523.54,467.47,519.74,2458650112,52015066663
2018/6/15,520.48,521.3,487.47,491,1808269952,49149084090
2018/6/16,490.41,503.22,488.85,499.64,1314109952,50024018701
2018/6/17,499.46,507.64,498.65,500.45,1264870016,50114921288
2018/6/18,499.38,521.8,494.07,518.89,1513869952,51972519171
2018/6/19,519.02,542.35,516.31,537.96,1726569984,53893191559
2018/6/20,538.51,541.02,519.37,536.27,1596290048,53735032875
2018/6/21,536.45,543.72,524.26,527.37,1462070016,52853921455
2018/6/22,527.19,527.19,456.88,465.82,2226030080,46694859628
2018/6/23,466.27,479.13,462.39,474.52,1651379968,47577076102
2018/6/24,474.77,475.36,426.47,457.67,2490579968,45897156207
2018/6/25,455.94,470.34,448.9,460.31,4007950080,46171165114
2018/6/26,460.73,461.21,432.77,432.77,1356560000,43417898248
2018/6/27,432.24,444.24,424.84,442.36,1368940032,44389430889
2018/6/28,442.29,443.62,419.68,422.36,1360790016,42391125054
2018/6/29,422.59,441.79,407.95,436.01,1564499968,43769409548
2018/6/30,436.21,458.8,463.21,455.18,1475939968,45703302056
2018/7/1,455.24,457.14,446.39,453.92,1511730048,45585861718
2018/7/2,453.82,479.13,447.11,475.35,1625789952,47747743959
2018/7/3,475.39,483.85,462.58,464.2,1683939968,46637067239
2018/7/4,464.15,481.44,455.18,467.32,1549769984,46960391871
2018/7/5,467.29,483.23,464.63,474.41,1828610048,47682968020
2018/7/6,474.36,479.65,457.61,474.01,1627609984,47652424064
